OBJECTID,TYPE,DESCRIPTION,JURISDICTION,WEB_ADDRESS,STREET_NUMBER,STREET_NAME,CITY,ZIP,ERC_PHONE,GlobalID,CreationDate,Creator,EditDate,Editor,geometry
1947,HOSP,RESTON HOSPITAL CENTER,COUNTY OF FAIRFAX,https://hcavirginia.com/locations/reston-hospital-center/,1850,TOWN CENTER PKWY,RESTON,20190,(703) 689-9000,d2401e04-854a-48f4-a129-4e251bfb6932,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.364599906005 38.9624394573364)
1948,UC,CENTREVILLE URGENT CARE,COUNTY OF FAIRFAX,http://www.centrevilleurgentcare.com/home.html,14001A,SAINT GERMAIN DR,CENTREVILLE,20121,(703) 830-8113,d1c99409-ee2c-4800-8995-01fbb9201dd2,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.4353768241904 38.8367056785363)
1949,UC,VIRGINIA HOSPITAL CENTER URGENT CARE,COUNTY OF ARLINGTON,https://www.virginiahospitalcenter.com/medical-services/immediate-care/,764,S 23RD ST,ARLINGTON,22202,(703) 717-7000,a9b19fbf-8d0e-4bbc-bc6c-5c7da861c28f,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.0591105520407 38.8530992935108)
1950,HOSP,DOMINION HOSPITAL,COUNTY OF FAIRFAX,https://hcavirginia.com/locations/dominion/,2960,SLEEPY HOLLOW RD,FALLS CHURCH,22044,(703) 536-2000,c67341c5-97d7-4dc5-862b-59e66fdbb58e,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.1585908671291 38.8701777474388)
1951,HOSP,INOVA FAIRFAX HOSPITAL,COUNTY OF FAIRFAX,https://www.inova.org/locations/inova-fairfax-medical-campus,3300,GALLOWS RD,FAIRFAX,22042,(703) 776-4001,af3a2007-a254-48f7-90f2-084eba6e7e31,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.226756949808 38.857823711006)
1952,HOSP,INOVA EMERGENCY CARE CENTER - FAIRFAX,CITY OF FAIRFAX,https://www.inova.org/locations/inova-emergency-room-fairfax-city,4315,CHAIN BRIDGE RD,FAIRFAX,22030,(703) 877-8200,7a398f3f-c127-4a14-9d6d-a562eda783c9,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.3102281991072 38.8380822556852)
1953,HOSP,INOVA ALEXANDRIA HOSPITAL,CITY OF ALEXANDRIA,https://www.inova.org/locations/inova-alexandria-hospital,4320,SEMINARY RD,ALEXANDRIA,22304,(703) 504-3000,90c40fbe-4af2-4774-a916-526a08974262,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.1048143867524 38.8228800854695)
1954,UC,WALK IN MEDICAL CARE - BURKE,COUNTY OF FAIRFAX,http://www.justwalkinmedicalcare.com/locations/burke/,6045,BURKE CENTRE PKWY,BURKE,22015,(703) 239-0300,a0d2daf9-e73e-4ebe-8bde-bc4ca47643d8,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.2986615953752 38.7868617785008)
1955,HOSP,FORT BELVOIR COMMUNITY HOSPITAL,FORT BELVOIR,https://tricare.mil/mtf/BelvoirHospital,9300,DEWITT LOOP,FORT BELVOIR,22060,(571) 231-3224,3e49d19e-e249-4410-a902-cd5ab198c919,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.1432389194841 38.7056686741308)
1956,UC,DOMINION URGENT CARE,COUNTY OF FAIRFAX,https://www.dominionurgentcare.com/,6370,SPRINGFIELD PLZ,SPRINGFIELD,22150,(703) 569-7554,3456bec0-5a62-4bbc-bcf8-6e035d6e7066,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.1895231575964 38.7822129144659)
1957,HOSP,INOVA EMERGENCY ROOM - RESTON/HERNDON,COUNTY OF FAIRFAX,https://www.inova.org/locations/inova-emergency-room-restonherndon,11901,BARON CAMERON AVE,RESTON,20190,(703) 668-8333,14c9f534-f0ab-4227-bc62-c087b59614c1,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.3568394192189 38.965510444206)
1958,HOSP,INOVA FAIR OAKS HOSPITAL,COUNTY OF FAIRFAX,https://www.inova.org/locations/inova-fair-oaks-hospital,3600,JOSEPH SIEWICK DR,FAIRFAX,22033,(703) 391-3600,108a7c1d-f860-4948-adf4-5eef5e87b5c9,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.379913938069 38.8848065796503)
1959,HOSP,INOVA MOUNT VERNON HOSPITAL,COUNTY OF FAIRFAX,https://www.inova.org/locations/inova-mount-vernon-hospital,2501,PARKERS LA,ALEXANDRIA,22306,(703) 664-7000,36b84bbe-cbf6-4a03-be54-f43b4bc44318,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.0762775829244 38.7398639841056)
1960,UC,INOVA URGENT CARE CENTER - CENTREVILLE,COUNTY OF FAIRFAX,https://www.inova.org/locations/inova-urgent-care-centreville,6201,CENTREVILLE RD,CENTREVILLE,20121,(703) 830-5600,a3f04821-8dff-4626-9404-b08f94c3e8f1,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.4341655097871 38.8292423601084)
1961,UC,WALK IN MEDICAL CARE - FAIR OAKS,COUNTY OF FAIRFAX,http://www.justwalkinmedicalcare.com/locations/fairoaks/,12011,LEE JACKSON MEMORIAL HWY,FAIRFAX,22033,(703) 385-8378,41303713-ff26-414e-9974-b03917bed901,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.3610087834548 38.8662733305102)
1962,UC,VUPC URGENT CARE,COUNTY OF FAIRFAX,http://www.vupchealth.com/,5501,BACKLICK RD,SPRINGFIELD,22151,(703) 564-5998,91bc818b-d407-46c6-b9a7-dd0ff290ffde,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.1834181266985 38.8019438536833)
1963,UC,ALLCARE FAMILY MEDICINE & URGENT CARE - LORTON,COUNTY OF FAIRFAX,https://allcarefamilymed.com/lorton-va,7740,GUNSTON PLZ,LORTON,22079,(703) 339-5858,5f0ef850-f9c1-42a2-92ad-f76c07918ae2,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.2089582875521 38.7050961040934)
1964,HOSP,INOVA EMERGENCY ROOM - FRANCONIA/SPRINGFIELD,COUNTY OF FAIRFAX,https://www.inova.org/locations/inova-emergency-room-healthplex-franconiaspringfield,6355,WALKER LN,ALEXANDRIA,22310,(703) 797-6800,037ab74c-282b-44fc-a1aa-37c62194de1a,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.1610119367721 38.7670010513282)
1965,HOSP,INOVA HEALTHPLEX LORTON,COUNTY OF FAIRFAX,https://www.inova.org/locations/inova-healthplex-lorton,9321,SANGER ST,LORTON,22079,(703) 982-8400,deb7fe33-e069-4f5f-b1a3-50e49d3fe25d,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.2269470936929 38.7025226116604)
1966,UC,CARENOW URGENT CARE - CENTREVILLE,COUNTY OF FAIRFAX,https://www.carenow.com/locations/northern-virginia/centreville/,4995,WESTONE PLZ,CHANTILLY,20151,(571) 441-3980,31a1deb4-be40-4e8d-a201-82a538eda408,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.4448941254653 38.8705544572123)
1967,UC,CARENOW URGENT CARE - CHANTILLY,COUNTY OF FAIRFAX,https://www.carenow.com/locations/northern-virginia/chantilly/,3456,HISTORIC SULLY WAY,CHANTILLY,20151,(703) 435 3838,de39e098-16da-4054-a980-a5b6117e6367,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.4270299194721 38.9144890743379)
1968,UC,PATIENT FIRST - FAIRFAX,CITY OF FAIRFAX,https://www.patientfirst.com/locations/washington-dc/fairfax,10100,FAIRFAX BLVD,FAIRFAX,22030,(703) 679-1876,c5bbf7f0-0fae-4eb4-93f1-fe2e404b9c64,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.2944416033918 38.8624749823185)
1969,UC,PATIENT FIRST - CHANTILLY,COUNTY OF FAIRFAX,https://www.patientfirst.com/locations/washington-dc/chantilly,3918,CENTREVILLE RD,CHANTILLY,20151,(703) 657-6925,2026b604-4c90-476d-8e99-fa1a804d1333,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.4310524423864 38.8955074087514)
1970,UC,PATIENT FIRST - ALEXANDRIA,COUNTY OF FAIRFAX,https://www.patientfirst.com/locations/washington-dc/alexandria,6311,RICHMOND HWY,ALEXANDRIA,22306,(703) 647-6087,b68b2b96-109c-499f-b469-aa69ed617611,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.0780121078845 38.7808381675125)
1971,UC,INOVA URGENT CARE CENTER - RESTON,COUNTY OF FAIRFAX,https://www.inova.org/locations/inova-urgent-care-reston,1488,NORTHPOINT VILLAGE CTR,RESTON,20194,(571) 525-5850,64bec51a-041f-48ec-ad45-7c102d7f0b16,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.3504918449515 38.9782002778312)
1972,UC,INOVA URGENT CARE CENTER - TYSONS,COUNTY OF FAIRFAX,https://www.inova.org/locations/inova-urgent-care-tysons,8357B ,LEESBURG PIKE,VIENNA,22182,(571) 665-6440,01e327f2-c5ff-40a3-b564-c9b66f29b57b,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.2368408967668 38.9198447352741)
1973,UC,INOVA URGENT CARE CENTER - WEST SPRINGFIELD,COUNTY OF FAIRFAX,https://www.inova.org/locations/inova-urgent-care-west-springfield,6230J,ROLLING RD,SPRINGFIELD,22152,(571) 581-6270,4d85aab6-576b-4d4f-8622-4a93f84f82bd,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.2351133134663 38.7811773542002)
1974,UC,INOVA URGENT CARE CENTER - VIENNA,TOWN OF VIENNA,https://www.inova.org/locations/inova-urgent-care-vienna,180,MAPLE AVE WEST,VIENNA,22180,(703) 938-5300,08afde44-3600-44cd-b78b-4258f87d0c58,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.2669698664055 38.8994823348397)
1975,UC,PATIENT FIRST - STERLING,COUNTY OF LOUDOUN,https://www.patientfirst.com/locations/washington-dc/sterling,47100,COMMUNITY PLZ STE 100,STERLING,20164,(703) 880-1403,ac8a30a4-e61a-4586-94c1-c6876ad6f1ef,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.3756629941886 39.0143151012764)
1976,UC,PATIENT FIRST - FALLS CHURCH,CITY OF FALLS CHURCH,https://www.patientfirst.com/locations/washington-dc/falls-church,502,WEST BROAD ST #2,FALLS CHURCH,22046,(571) 421-8431,82a9bd47-1e84-44fe-9352-f8a94f3e538b,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.1785762923444 38.88735938404)
1977,UC,AEHS ANNANDALE OFFICE,COUNTY OF FAIRFAX,https://www.aehealthsystem.com/,7432,LITTLE RIVER TNPK,ANNANDALE,22003,(703) 658-7060,a04e6957-9e66-422d-a705-a46f81dd8a0c,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.2022329496442 38.8325007392508)
1978,UC,AEHS FAIRFAX OFFICE,COUNTY OF FAIRFAX,https://www.aehealthsystem.com/,3085,NUTLEY ST,FAIRFAX,22031,(703) 281-7771,b6361338-e5a8-462f-b8ee-e725104fbc5f,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.2610947607131 38.8694521982805)
1979,UC,CONCENTRA URGENT CARE - STERLING,COUNTY OF LOUDOUN,https://www.concentra.com/urgent-care-centers/virginia/sterling/sterling-urgent-care,46440,BENEDICT DR STE 108,STERLING,20164,(703) 444-5656,813a3ac1-dd9a-45ba-8df8-f78be5b13b71,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.392864128263 39.0248122657147)
1980,UC,CONCENTRA URGENT CARE - AIRPORT DULLES,COUNTY OF LOUDOUN,https://www.concentra.com/urgent-care-centers/virginia/sterling/airport-dulles-urgent-care,45305,CATALINA CT STE 103,STERLING,20166,(703) 435-7656,3bc9daef-e784-42e9-984f-58e47e21e6dc,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.4334389463705 38.9775898698919)
1981,UC,CONCENTRA URGENT CARE - ALEXANDRIA,COUNTY OF FAIRFAX,https://www.concentra.com/urgent-care-centers/virginia/alexandria/alexandria-urgent-care,5590,GENERAL WASHINGTON DR,ALEXANDRIA,22312,(703) 914-6718,22551109-7ec8-4417-8097-8e1629c912be,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.1632919241926 38.7997353036967)
1982,UC,CONCENTRA URGENT CARE - FAIRFAX,COUNTY OF FAIRFAX,https://www.concentra.com/urgent-care-centers/virginia/baltimore/fairfax-urgent-care,8613,LEE HWY STE 110,FAIRFAX,22031,(703) 272-4305,74408348-4c2e-4adb-915d-5cfd4f22fde9,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.2423639878047 38.8721848774094)
1983,UC,MEDICAL ACCESS URGENT CARE - ALEXANDRIA,COUNTY OF FAIRFAX,https://www.medicalaccessmd.com/alexandria,7598,TELEGRAPH RD,ALEXANDRIA,22315,(703) 952-1868,0dea541e-e645-4824-b832-f5dc494454e6,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.1401031549446 38.7527005284651)
1984,UC,MEDICAL ACCESS URGENT CARE - WOODBRIDGE,COUNTY OF PRINCE WILLIAM,https://www.medicalaccessmd.com/woodbridge,14527,JEFFERSON DAVIS HWY,WOODBRIDGE,22191,(703) 952-5748,bb49ca97-165a-43ca-aa46-d602ed393471,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.2692637296362 38.6361283719976)
1985,UC,ALLCARE FAMILY MEDICINE & URGENT CARE - ALEXANDRIA,CITY OF ALEXANDRIA,https://allcarefamilymed.com/alexandria-va-duke-st,3117,DUKE ST,ALEXANDRIA,22314,(703) 751-8800,9924583f-2c3d-42de-bfe9-c9a6006c02ca,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.0836394520597 38.8086156233324)
1986,UC,ALLCARE FAMILY MEDICINE & URGENT CARE - TYSONS,COUNTY OF FAIRFAX,https://allcarefamilymed.com/tysons-corner-va,1953,GALLOWS RD STE 100,VIENNA,22182,(703) 942-5331,099f2690-9167-4e2b-8275-cfb88921e136,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.2260292430189 38.9118107143994)
1987,UC,ALLCARE FAMILY MEDICINE & URGENT CARE-OLD TOWN ,COUNTY OF FAIRFAX,https://allcarefamilymed.com/alexandria-va,6020,RICHMOND HWY STE 102,ALEXANDRIA,22303,(571) 308-6776,3b54154d-34ac-4362-987c-bb8b03c3ca0e,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.0694332890178 38.7866181461623)
1988,UC,ALLCARE FAMILY MEDICINE & URGENT CARE - BALLSTON,COUNTY OF ARLINGTON,https://allcarefamilymed.com/ballston-va,4501,FAIRFAX DR STE 110,ARLINGTON,22203,(703) 349-6362,e600a3f1-70b4-4e13-896c-70c4b43d4b8b,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.1152970824287 38.882435802722)
1989,UC,ALLCARE FAMILY MEDICINE & URGENT CARE - ARLINGTON,COUNTY OF ARLINGTON,https://allcarefamilymed.com/arlington-va,1515,N COURTHOUSE RD STE 140,ARLINGTON,22201,(703) 812-8200,90491b2c-c471-47cc-afa5-1dc7e21a6d92,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.0836348348358 38.8911890786444)
1990,UC,ALLCARE FAMILY MEDICINE & URGENT CARE - GLEN ECHO,COUNTY OF MONTGOMERY,https://allcarefamilymed.com/glen-echo-md,7307,MACARTHUR BLVD,BETHESDA,20816,(301) 825-8884,ff7557e1-2cad-4a2c-8d2d-6f3b1a583e1f,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.1387619600102 38.96935601182)
1991,UC,ALLCARE FAMILY MEDICINE & URGENT CARE-FALLS CHURCH,COUNTY OF FAIRFAX,https://allcarefamilymed.com/falls-church-va,6288B,ARLINGTON BLVD,FALLS CHURCH,22044,(703) 565-1888,4e74a103-ca8c-4298-a7b3-5ac6e4319a2c,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.1527734831526 38.8725946631166)
1992,UC,ALLCARE FAMILY MEDICINE & URGENT CARE - FAIRFAX,COUNTY OF FAIRFAX,https://allcarefamilymed.com/fairfax-va,8301,ARLINGTON BLVD #100,FAIRFAX,22031,(703) 849-0900,8c67c521-90da-491b-be7a-28d4d4b2570b,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.2312573223223 38.8649861480038)
1993,UC,OAKTON URGENT CARE,COUNTY OF FAIRFAX,http://www.oaktonurgentcare.com/,2915,HUNTER MILL RD,OAKTON,22124,(703) 255-1190,cb3f5737-7e19-48f2-8beb-ea5809a5c614,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.3007161435367 38.8825175688465)
1994,UC,MCLEAN IMMEDIATE CARE FAMILY MEDICAL CENTER,COUNTY OF FAIRFAX,https://immediatecare.net/,1340,OLD CHAIN BRIDGE RD,MCLEAN,22101,(703) 893-2273,581c4e5b-ca7b-4174-8b19-0d8a97f43d60,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.176285893267 38.9379859038311)
1995,UC,RESTON MEDICAL CENTER,COUNTY OF FAIRFAX,https://healthy.kaiserpermanente.org/maryland-virginia-washington-dc/facilities/Reston-Medical-Center-100404,1890,METRO CENTER DR,RESTON,20190,(800) 777-7904,377cb3d4-9b26-464b-bff4-40b0775bfe38,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.3422012671783 38.9495242355884)
1996,UC,TYSONS CORNER MEDICAL CENTER,COUNTY OF FAIRFAX,https://healthy.kaiserpermanente.org/maryland-virginia-washington-dc/facilities/Tysons-Corner-Medical-Center-300450,8008,WESTPARK DR,MCLEAN,22102,(703) 287-6400,246e7d87-6f56-41f0-ad5b-fd6126fec72e,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.2242556045475 38.9295527937643)
1997,HOSP,VIRGINIA HOSPITAL CENTER MAIN HOSPITAL,COUNTY OF ARLINGTON,https://www.virginiahospitalcenter.com/,1701,N GEORGE MASON DR,ARLINGTON,22205,(703) 558-5000,fdb279c8-bc33-4bfc-8e05-540b199f9c19,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.1281686513442 38.8896023664212)
1998,UC,OLD DOMINION URGENT CARE,COUNTY OF FAIRFAX,http://www.odurgentcare.com/,6262,OLD DOMINION DR,MCLEAN,22101,(703) 893-2505,6b3f6f2a-ba83-4d48-a47e-b8febba0af30,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.1523117670544 38.9211555458137)
1999,UC,NOVA PATIENT CARE - FALLS CHURCH,COUNTY OF FAIRFAX,http://www.novapatientcare.com/falls-church,5860,COLUMBIA PIKE STE 105,FALLS CHURCH,22041,(703) 348-9111,3d80278b-a481-4c6b-92b2-28a525c02cd5,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.1346910271866 38.8485307815556)
2000,UC,FAIRFAX URGENT CARE AND HEALTHPLEX,COUNTY OF FAIRFAX,https://fairfaxurgentcare.net/urgent-care-center/,8191,STRAWBERRY LN STE 6,FALLS CHURCH,22042,(703) 493-0404,29276079-605d-4d6a-b5a0-e87f821f97ef,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.2279042519823 38.8718835340603)
2001,UC,MCLEAN MEDICAL CENTER,COUNTY OF FAIRFAX,https://inovadocs.com/locations/,6858,OLD DOMINION DR STE 102,MCLEAN,22101,(703) 847-9800,a8f30953-b3f5-4db3-8468-2fff430f3113,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.1821570287272 38.9360999492302)
2002,UC,ALEXANDRIA HEALTH CARE CENTER,CITY OF ALEXANDRIA,https://inovadocs.com/locations/,5249,DUKE ST STE 100,ALEXANDRIA,22304,(703) 658-2650,336badfb-26e3-41b3-8332-f2c00b19b8bb,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.1228409433824 38.8132700323477)
2003,UC,MEDICAL ASSOCIATES OF NORTHERN VIRGINIA,COUNTY OF ARLINGTON,https://inovadocs.com/locations/,611,S CARLING SPRINGS RD STE 504,ARLINGTON,22204,(703) 998-6666,364662cd-5948-4611-9c5d-2addbe5eee06,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.1263401048525 38.8594835607465)
2004,UC,ACE MEDICAL CARE,COUNTY OF FAIRFAX,https://acemedicalcare.org/,9845,GEORGETOWN PIKE,GREAT FALLS,22066,(703) 757-0311,282086bb-1468-4d8b-b665-9eac592e535a,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.2870908180009 38.9971125024699)
2005,UC,BLUE NILE MEDICAL CENTER,CITY OF ALEXANDRIA,http://www.bluenilemedical.com/contact-us.html,85,S BRAGG ST STE 100,ALEXANDRIA,22312,(703) 845-0700,ca7002e5-d117-431d-97b1-39cf0949c456,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.1422043451216 38.815072899072)
2006,UC,INOVA URGENT CARE - NORTH ARLINGTON,COUNTY OF ARLINGTON,https://www.inova.org/locations/inova-urgent-care-north-arlington,4600,LEE HWY,ARLINGTON,22207,(703) 763-4020,ead06ec0-09a8-46b5-8480-5128c94fd1cc,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.1199383628738 38.8983370344951)
2007,UC,INOVA URGENT CARE - DULLES SOUTH,COUNTY OF LOUDOUN,https://www.inova.org/locations/inova-urgent-care-dulles-south,24801,PINEBROOK RD #110,CHANTILLY,20152,(703) 531-8376,d2722ec4-2945-4b62-9743-5d889ea4bd68,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.5293513283139 38.9324486038411)
2008,UC,INOVA URGENT CARE - SOUTH ARLINGTON,COUNTY OF ARLINGTON,https://www.inova.org/locations/inova-urgent-care-south-arlington,3263,COLUMBIA PIKE,ARLINGTON,22204,(703) 372-9919,1a768877-5294-4193-8de6-7b9b086f89e8,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.0917823852332 38.8620346619536)
2009,UC,MILLENNIUM MEDICAL CARE - FAIRFAX,COUNTY OF FAIRFAX,https://millenniummedicalcare.com/locations/fairfax-office/,11213H,LEE HWY,FAIRFAX,22030,(703) 372-4429,358641db-4c37-4e00-8787-3ddf1d7f8815,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.3339123125805 38.8503613586845)
2010,UC,MILLENNIUM MEDICAL CARE - HERNDON,COUNTY OF FAIRFAX,https://millenniummedicalcare.com/locations/herndon-office/,1043,STRLING RD STE 104,HERNDON,20171,(703) 743-7849,bdd5f5c3-3881-42e2-944b-aeb835e872af,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.3964834036443 38.9687767729243)
2011,UC,PMA HEALTH IMMEDIATE CARE - FALLS CHURCH,CITY OF FALLS CHURCH,https://www.mypmahealth.com/immediate-care/,510,W ANNANDALE RD STE 100,FALLS CHURCH,22046,(703) 236-7133,78f13b80-8b75-48e0-ad22-0edff3c5fa10,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.1734098019707 38.8811077230711)
2012,UC,PMA HEALTH IMMEDIATE CARE - CLARENDON,COUNTY OF ARLINGTON,https://www.mypmahealth.com/immediate-care/,3301,WILSON BLVD,ARLINGTON,22201,(703) 522-1860,c6ee5a29-6a4f-409e-bbb2-26becc150861,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.0994942334618 38.8838993309216)
2013,UC,PROGRESSIVE URGENT & PRIMARY CARE,COUNTY OF FAIRFAX,https://www.progressiveurgentcare.com/,7306,MAPLE PL,ANNANDALE,22003,(703) 333-5001,e0a38175-7c48-4448-ae7b-a1da5675c6af,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.1961110110478 38.8324018210088)
2014,UC,URGENT CARE CENTER OF ARLINGTON,COUNTY OF ARLINGTON,https://www.urgentcarearlingtonva.com/?utm_source=gmb_auth,2439,N HARRISON ST,ARLINGTON,22207,(571) 395-9912,3810008b-1e71-4270-8556-046b97aa385b,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.1379860444485 38.8971851726063)
2015,UC,FAMILY IMMEDIATE CARE ,COUNTY OF FAIRFAX,http://familyimmediatecare.com/our-services.html,420,ELDEN ST,HERNDON,20170,(571) 353-1899,ffffc2ce-5e93-4391-ace3-6c3b949734de,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.3744058269006 38.9700845599551)
2016,UC,MEDSTAR HEALTH URGENT CARE - ALEXANDRIA,CITY OF ALEXANDRIA,https://www.medstarhealth.org/mhs/urgent-care/alexandria/,3610 D,KING ST,ALEXANDRIA,22302,(703) 845-2815,4e9cc193-ada5-4376-9dbd-2e5ef2e85066,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.0905029739724 38.8285846763807)
2017,UC,PEDIATRICS URGENT CARE - SPRINGFIELD,COUNTY OF FAIRFAX,https://pmpediatrics.com/location/virginia-springfield/,6358,SPRINGFIELD PLZ,SPRINGFIELD,22150,(703) 644-5437,0e345a96-c0bf-45e3-b05d-a76159520102,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.1887758385792 38.7819039382406)
2018,UC,PEDIATRICS URGENT CARE - HERNDON,COUNTY OF FAIRFAX,https://pmpediatrics.com/location/virginia-herndon/,905,HERNDON PKWY,HERNDON,20170,(703) 437-5437,c19c13f1-ab62-40ad-a915-bd518dafbd1a,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.398540698708 38.9617121378503)
2019,UC,PEDIATRICS URGENT CARE - FAIRFAX,COUNTY OF FAIRFAX,https://pmpediatrics.com/location/virginia-fairfax/,11056,LEE HWY,FAIRFAX,22030,(703) 552-5437,af07928b-d703-4e16-a12c-408a527b24d4,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.3271985353681 38.8529124020481)
2020,UC,CARENOW URGENT CARE - STERLING PARK,COUNTY OF LOUDOUN,https://www.carenow.com/locations/northern-virginia/sterling-park/,101,ENTERPRISE ST,STERLING,20164,(703) 844-0380,adabf71a-32ae-441c-bc56-d4b04cf4a91c,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.4031457885925 38.9988900696133)
2021,UC,CARENOW URGENT CARE - STERLING AT CASCADES,COUNTY OF LOUDOUN,https://www.carenow.com/locations/northern-virginia/sterling-at-cascades/,46200,POTOMAC RUN PLZ,STERLING,20164,(703) 430-1232,bea2c110-4a36-476b-9c40-312689048c27,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.4017056092361 39.0262306417173)
2022,HOSP,INOVA EMERGENCY ROOM - HEALTHPLEX ,COUNTY OF LOUDOUN,https://www.inova.org/locations/inova-emergency-room-ashburn-healthplex,22505,LANDMARK CT #210,ASHBURN,20148,(571) 612-6400,416773d9-ceb0-4e07-85b4-0a4386f601ec,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.4808843946243 38.9950939182185)
